[Borrow] UserID: 11 | Name: a | BookID: 1 | Title: a
[Return] UserID: 11 | Name: a | BookID: 1 | Title: a
[Borrow] UserID: 12 | Name: b | BookID: 2 | Title: b
[Return] UserID: 12 | Name: b | BookID: 2 | Title: b
[Borrow] UserID: 11 | Name: a | BookID: 1 | Title: a
[Borrow] UserID: 12 | Name: b | BookID: 2 | Title: b
[Return] UserID: 12 | Name: b | BookID: 2 | Title: b
[Return] UserID: 11 | Name: a | BookID: 1 | Title: a
[Borrow] UserID: 13 | Name: vidit | BookID: 3 | Title: c
[Return] UserID: 13 | Name: vidit | BookID: 3 | Title: c
[Borrow] UserID: 11 | Name: a | BookID: 1 | Title: a
[Return] UserID: 11 | Name: a | BookID: 1 | Title: a
[Borrow] UserID: 11 | Name: a | BookID: 1 | Title: a
[Return] UserID: 11 | Name: a | BookID: 1 | Title: a
[Borrow] UserID: 14 | Name: Satvik | BookID: 4 | Title: d
[Return] UserID: 14 | Name: Satvik | BookID: 4 | Title: d
[Borrow] UserID: 11 | Name: a | BookID: 1 | Title: a
[Return] UserID: 11 | Name: a | BookID: 1 | Title: a
[Borrow] UserID: 11 | Name: a | BookID: 1 | Title: a
[Return] UserID: 11 | Name: a | BookID: 1 | Title: a
[Borrow] UserID: 100 | Name: Boss | BookID: 1 | Title: a
